classification_system,salary,organization,patent,health_information,xml,web_search_engine,chinese_language_article,international_collaboration,science_technology,publication_count,ipa,play,inertia,history,bibliometric_analysis,web_science,machine_learning,evaluation,ms,nobel_laureate,citation_analysis,rural_geography,academic,internationalization,part_manufacturer,scopus,term_clumping,visualization,asean,gender_difference,technology_transfer,propagation,similarity_measure,evolution,social_sciences_humanity,link_datum,topic_model,reference,graph_database,diffusion
azerbaijan,internet,journal_citation,ego_network,patent_count,performance_evaluation,specialty,sentiment_analysis,reciprocity,publication_pattern,genre,latin_american,library,memory,virtual_world,government,subject_category,rank,duplicate,social_medium,disciplinarity,feature_selection,rest,matthew_effect,text_database,recognition,adaboost,regression
database,generation,south_africa,policy,digital_library,academia,patent_citation,match,speed,sightseeing_tour,musical_creativity,discipline,query_expansion,community,inventor,proquest,star_catalogue,chemistry,datum_quality,network,societal_impact,readership,knowledge_organization,z_score,disciplinary_profile,repository,case_study,cite_publication,scientometric_analysis,distribution,publication_process
isi,non_source_item,main_path,bibliometric_method,research_theme,news,science,support_infrastructure,iris_recognition,social_relationship,evolve,statute,data
cluster,literacy,problem,social_science,serendipitous,national_ranking,funding,information_use,scientific_paper,research_policy,information_access,translation,informetric,topic_modeling,number_author,co_authorship,ontology,multidisciplinary,scientific_productivity,consistency,h_index,search_engine,quantitative,librarian,unsupervised,bibliometric,significant_invention,single_author_article,armenia,social_sciences,wikipedia,technology,sleep_beauty
order,humanity,female,webometric,google,information_literacy,information_diffusion,interest,main_path_analysis,ambiguity,interdisciplinarity,patent_database,literature,document_type,publisher,matching
biotechnology,bilateral_organisation,information_practice,research_article,author_influence,mean_base_method,task_force,pagerank,uncited_author,woman,web_mining,field_science,peer_review,scholar,academic_quality,discourse_analysis,author_inventor,co,movie_summarization,tag,semantic_web,citer,productivity,citation_context,knowledge_flow,knowledge_creation,social_capital,research_network,field_normalization,institutions,usa
scientific_output,stem,ecology,planning,semantic,dye_sensitize_solar_cell,dynamic,vertex_pair_similarity,research_impact,citation_distribution,folksonomy,breakthrough,disciplinary_difference,mh,behaviour,coauthorship,popularity,era,publication_year,bibliometric_database,linear_combination,topic_evolution,g_index,manuscript,indicator,inbreede,percentile,citnetexplorer,diversity,ranking,query,visibility,skewness,inventor_country,canada,rip,collaboration
outcome,experience,bibliometric_study,evaluation_framework,control_group,award,public_library,sociology,grant_allocation,high_education,medicine
ssh,economic,mapreduce,research_productivity,text_mining,directional_return_scale,united_states,information_science,lognormal_distribution,table_detection,nepotism
india,altmetric,research_infrastructure,authenticity,highly_cite_paper
publication_output,recommendation,normalization_effect
social_network,nanoscience_nanotechnology,spain,proceeding_paper,virtual_community,book,patstat,research_topic
mapping,qualitative_analysis
serendipity,book_review,collaboration_pattern,research_performance,natural_language,datum_fusion,terrorism
information_need,store
health,scientific_publication
text_categorization,scholarly_communication
information_sharing,power_law
task,latent_dirichlet_allocation
technology_opportunity,documentation
conference_proceeding,information_behaviour
simulation,science_policy
metric,international_ranking,music_information
trajectory,precision
big_science,couple_learning,public_research_lab,domain_knowledge
efficiency,information_system
trust_formation,delay_recognition,disambiguation
game,supervised_learning
co_authorship_network,creativity,non_roman_language
arxiv,physician
aspect_extraction,twitter,temporal_analysis
collaborative_network,summarization
transition,information_encounter
evaluation_methodology,social_networking,norwegian_model
content_analysis,representation
plagiarism,assessment
methodology,author_disambiguation
scientific_career,name
university,dsscs
sarcasm,boost
