computer_science,self_citation,median
personalization,international_collaboration
highly_cite_paper,innovation_capability
uncertainty,research_theme
cluster_analysis,promotion
troll,field_delimitation
cluster_analysis,field_delimitation
semantic,editorial_board
comparative_analysis,productivity
doaj,productivity
doaj,information_asset
academic_library,hierarchy_action
ranking,academic_library
network_analysis,academic_library
humanities,citation_indicator
multi_relational_network,humanities
multi_relational_network,network_analysis
manager,outcome
outcome,wikipedia
wikipedia,empirical_study
iran,empirical_study
e_journal,research_performance
knowledge_organization,research_performance
knowledge_organization,citation_index
citation_index,h_core
scientific_output,e_book
e_book,h_core
iran,h_core
iran,database
database,relation
information_retrieval,relation
tagging,relation
vosviewer,research_group
public_library,research_group
public_library,usage
scientific_journal,usage
technological_knowledge_intermediary,usage
book,scientific_collaboration
scientific_collaboration,cluster
ontology,cluster
social_network_analysis,ontology
shanghai_ranking,ontology
shanghai_ranking,digital_library
digital_library,internet
triadic_patent,co_link
e,co_link
communication,term_map
information_extraction,information_literacy
teach,robustness
teach,science
information_extraction,science
communication,information_extraction
scientific_production,citer
communication,citer
product_family,g_index
scientogram,g_index
scientogram,model_organism
social_network,scientogram
social_network,librarian
content_analysis,prestige
prestige,librarian
collaborative,librarian
language,librarian
secret_image,publication_output
publication_output,query_expansion
network,mds
history,network
computer_science,paradigm
development,social_medium
social_medium,technology
web_science,centre_periphery
astronomy,research_evaluation
css,education
eigenfactor,normalization
eigenfactor,webometric
eigenfactor,css
sense,css
jaeri,alignment
alignment,china
behaviour,china
bibliographic,marketing_journal
bibliographic,informetric
social,informetric
high_education,social
marketing,patent
image,average
image,consortial_use
consortial_use,citation_database
text_classification,market_value
question_answer,user_study
web_page,wedding
publishing,law
repository,photograph
genomic,growth
search,reviewer
information_seek,assessment
assessment,learn
bibliometric_indicator,evaluation
research_trend,benchmark
citation_measure,trust
validity,social_capital
validity,co_inlinking
h_index,diffusion
r_tree,knowledge_asset
knowledge_representation,rank
