image,redundancy,retrieval,promotion,think_aloud,information_provision,number_article,search,biotechnology,scientometric,social,scientific_communication,image_retrieval,contextualization,knowledge_organization,individual,museum,sami,open_access,social_search,south_africa,natural_language,weight,behavior,scientific_output,network_analysis,develop_country,priority,kernel_method,methodology,emerge_topic,research_focus,semiotic,user_study,chinese,preservation,similarity_measure,psychology,research_article,wikipedia,european_union,mapping,f_value,research_activity,normalization,application,evolution,scientist,museum_object,linkage,canada,efficiency,citation_rate,fcsi,mainstream,patent,scientific_production,discourse,semantic,community,need,image_use,standard,bibliometric_analysis,evaluation,academia,expert_search,discussion,nurse,function,drug,betweenness,citation_window,applicability,documentation,h_core,young_woman,reliability,highly_cite,academic_research,knowledge_network,cluster_analysis,exergy,connection,peer_review,scholarly_event,editorial,citation_impact,xml,italy,task_complexity,cite_journal,emerge_technology,crowdsourcing,ease,information_science,progressive_nucleation_mechanism,holiday,small_worldness,web,robustness,analgesic,site,network,excellence,theoretical_model,woman,metadata,impact_factor,africa,latent,graduate,context,brazil,funding,science,knowledge_integration,validity,everyday_life,centrality,public_value,item,discovery,cite_record,library,web_science
shanghai,intellectual_structure,highly_cite_paper,institution,conference
humanity,user_study,outgrow_index
social_tag,social,transliteration_variant
star,attack
international_collaboration,prediction
element,synchronous
element,p_index
p_index,entropy
entropy,scientometrics
vector_space_model,scientometrics
vector_space_model,graduate
small_world,graduate
understanding,organization
standard,organization
video,cognitive_science
blog_community,cognitive_science
co_word,cognitive_science
mapping,cognitive_science
research_funding,psychology
young_woman,motivation
heritage,comparison
young_woman,comparison
matthew_effect,taiwan
taiwan,cite_journal
research_evaluation,knowledge_network
knowledge_map,south_africa
bibliometric_positioning,xml
semantic_information,individual_scientist
semantic_information,medicine
semantic_information,preservation
chemistry,search
citeseer,advice
time_series_analysis,bias
advice,bias
validity,advice
development,engineering
user_convenience,engineering
similarity_measure,engineering
small_worldness,periodical
collaboration_potential,information_inequality
digital_library,indigenous
information_inequality,indigenous
information_inequality,patent_family
citation_graph,patent_family
patent_family,online
online,cite_record
information_practice,integration
integration,cite_record
web_mining,webometric
bibliometric_methodology,webometric
co_authorship,sentiment_analysis
medlineplus,co_authorship
medlineplus,information_technology
bibliometric_methodology,information_technology
academic_research,bibliometric_methodology
high_utility_itemset,open_access
academic_rank,similarity_measure
cluster,scientific_productivity
discovery,scientific_productivity
scientific_publication,overall_prestige
scientific_publication,morocco
life_cycle,morocco
metadata,morocco
research_group,exposure_effect
social_network_analysis,knowledge_management
social_network_analysis,exposure_effect
rank_journal,exposure_effect
rank_journal,information_science
e_learning,midwife
efficiency,e_learning
metadata,science_mapping
error,education
error,bibliometric_index
field_science,bibliometric_index
metadata,bibliometric_index
co_authorship_network,redundancy
methodology,structured_abstract
museum_object,industry
natural_language,subject_heading
network,fractional
bibliometric_analysis,information_sharing
problem,bibliometric_analysis
coauthor,discussion
emotion,chinese
phd,chinese
emergence,research_trend
medline,research_trend
medline,preservation
structure,librarian
structure,context
innovation,user_tag
dynamic,user_tag
mis,individual_researcher
dynamic,individual_researcher
retrieval,dynamic
retrieval,summarization
literature_review,rank
coauthorship,rank
information_literacy,rank
connection,information_literacy
function,lis_journal
scientometric,mlir
knowledge_integration,journal_ranking
gene,visualization
recommendation,reference
gene,recommendation
gene,citation_database
africa,citation_database
normalisation,analgesic
simulation,intranet
terminology,random_access
terminology,finance
finance,intranet
intranet,information_behaviour
book,information_behaviour
spain,social_tagging
book,social_tagging
multidisciplinary,document_type
url_reference,productivity
url_reference,document_type
regression,document_type
book,document_type
book,patent_network
public_library,success
weighting_scheme,success
weighting_scheme,statistic
weighting_scheme,attempt
patent_analysis,attempt
patent_analysis,datum_stream
book,patent_analysis
book,citation_rate
blog,nurse
intelligent_agent,peer_review
mapping,informetric
word,science
benford_law,social_tag
real_time_search,transliteration_variant
definition,transliteration_variant
information_retrieval,china
social,china
bibliometric_indicator,research_article
citation_window,similarity
splog,fcsi
information_processing,cambodia
consistency,cambodia
prestige,consistency
prestige,text_mining
uncertainty,economic_journal
orange_book,search_engine
co,search_engine
university,search_engine
university,bar
university,machine_learning
uncertainty,university
uncertainty,research_area
uncertainty,random_removal
random_removal,text_mining
power_law,text_mining
highly_cite,power_law
research_output,ease
globalisation,reflection
reflection,funding
crowdsourcing,rank_frequency_distribution
individual,language
catalogue,environmental_scanning
catalogue,individual
individual,scopus
multiple_manuscript,scopus
philosophy,pagerank
philosophy,knowledge_structure
philosophy,scopus
ir,collaboration_network
taxonomy,patent_citation
knowledge_exchange,technology_foresight
author_impact,metric
author_impact,improvement
tagging,conflict_interest
graphene,research_collaboration
ranking,scientometric_indicator
research_quality,scientometric_indicator
graphene,research_quality
graphene,internet
esi,biomedical_informatic
esi,institution
intellectual_structure,internet
meta_analysis,energy
authorship,scientific_collaboration
computer_science,interdisciplinary
interdisciplinary,social_science
community_detection,query_expansion
text_categorization,oncology
ambiguity,characterization
categorization,dependence
thermodynamic,mental_model
knowledge_production,invention
invention,scientific_effectiveness
virtual_world,scientific_effectiveness
department,entrepreneurship
entrepreneurship,authorial_voice
social_interaction,quartile_journal
popularity,journal_article
usda,journal_article
innovation_system,multiple_authorship
accuracy,automatic_classification
accuracy,innovation_system
innovation_system,research_performance
journal_impact_factor,citation_frequency
quantity,durability
ontology,collaborative_filtering
ontology,g_index
interdisciplinarity,information_source
concept,benchmark
assessment,library_information_science
information_seek,crown_indicator
knowledge_flow,research_policy
cerif,classifier
difficulty,research_assessment
